,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Court_Indoor,Court_Outdoor,Surface_Clay,Surface_Grass,Surface_Hard,Round_1st Round,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,player1_round1,player2_round1,player1_round2,player2_round2,player1_round3,player2_round3,player1_round4,player2_round4,player1_round5,player2_round5
0,3,Mayer,Giraldo,Mayer,28,57,1215,778,1.36,3.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,6,4,0,0,0,0,0,0
1,3,Benneteau,Nieminen,Nieminen,35,41,1075,927,2.2,1.61,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,6,2,1,6,0,0,0,0
2,3,Nishikori,Matosevic,Nishikori,19,49,1830,845,1.25,3.75,False,True,False,False,True,True,False,False,False,False,False,False,False,7,5,6,2,0,0,0,0,0,0
3,3,Mitchell,Baghdatis,Baghdatis,326,36,137,1070,9.0,1.07,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,4,6,0,0,0,0,0,0
4,3,Istomin,Klizan,Istomin,43,30,897,1175,1.9,1.8,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,6,2,0,0,0,0,0,0
5,3,Ito,Millman,Millman,79,199,655,239,2.2,1.61,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,1,6,0,0,0,0,0,0
6,3,Falla,Levine,Falla,54,104,809,530,2.2,1.61,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,7,6,0,0,0,0,0,0
7,3,Kudla,Melzer,Melzer,137,29,402,1177,2.62,1.44,False,True,False,False,True,True,False,False,False,False,False,False,False,6,2,4,6,4,6,0,0,0,0
8,3,Robredo,Harrison,Robredo,114,69,495,710,3.0,1.36,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,7,6,0,0,0,0,0,0
9,3,Baker,Dimitrov,Dimitrov,61,48,756,866,3.0,1.36,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,6,7,0,0,0,0,0,0
